Source,Species ,Strain,Product group ,Product,Treatment,Incubation medium,Incubation temperature,Incubation time,aw,pH,Method,Obtained by:,Number of experiments,Mathematical model,Competition,temperature,Lag,SD Lag (h),Tg (h),mu_max,SD mu_max (log10 CFU h-1),xmax (log10 CFU per ml),SD xmax (log10 CFU per ml),A (log10 CFU per ml),SD  A (log10 CFU per ml),N0 (log10 CFU per ml),SD N0 (log10 CFU per ml)
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,UHT,BHI,37,24,,6.6,,,,,,7,,,,0.035833333,,8.71,,,,,
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,UHT,BHI,37,24,,6.6,,,,,,14,,,,0.055833333,,8.66,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,sterile,BHI,37,24,,6.6,colony count,direct from combase,,,,10,,,,0.0301,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0372,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0415,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0424,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0443,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0303,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0381,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.043,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0418,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Skimmed milk,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0415,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Reconstituted nonfat milk solids,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0301,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Reconstituted nonfat milk solids,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0314,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Reconstituted nonfat milk solids,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0358,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Reconstituted nonfat milk solids,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0342,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Reconstituted nonfat milk solids,Sterile,BHI,37,24,,6.6,colony count,direct from combase,,,Pseudomonas,10,,,,0.0376,,,,,,,
2,L. monocytogenes,CRA 433,Dairy,Whole milk,UHT,NB (Oxoid CM1),30,48,,6.6,,,,,,0,312,,62,0.004855323,,,,,,,
2,L. monocytogenes,CRA 434,Dairy,Whole milk,UHT,NB (Oxoid CM1),30+4,48+144,,6.6,,,,,,0,72,,77,0.00390948,,,,,,,
2,L. monocytogenes,CRA 435,Dairy,Whole milk,UHT,NB (Oxoid CM1),30,48,,6.6,,,,,,2.5,120,,24,0.012542916,,,,,,,
2,L. monocytogenes,CRA 436,Dairy,Whole milk,UHT,NB (Oxoid CM1),30+4,48+144,,6.6,,,,,,2.5,48,,33,0.009122121,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,colony count,direct from combase,,,,0,,,,0.00486,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,colony count,direct from combase,,,,2.5,,,,0.0125,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,colony count,direct from combase,,,,5,,,,0.0151,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,colony count,direct from combase,,,,7.5,,,,0.0188,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,colony count,direct from combase,,,,9.3,,,,0.0547,,,,,,,
3,L. monocytogenes,CA,Dairy,Skimmed milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,4,120,,30.5,0.009869836,,7.6,,,,,
3,L. monocytogenes,V7,Dairy,Skimmed milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,4,,,38,0.007921842,,7.77,,,,,
3,L. monocytogenes,CA,Dairy,Skimmed milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,8,48,,13.3,0.022633834,,7.75,,,,,
3,L. monocytogenes,V7,Dairy,Skimmed milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,8,,,10,0.030103,,7.85,,,,,
3,L. monocytogenes,CA,Dairy,Whole milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,4,120,,30,0.010034333,,7.55,,,,,
3,L. monocytogenes,V7,Dairy,Whole milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,4,,,36.5,0.008247397,,7.65,,,,,
3,L. monocytogenes,CA,Dairy,Whole milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,8,48,,14.5,0.020760689,,7.75,,,,,
3,L. monocytogenes,V7,Dairy,Whole milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,8,,,10.75,0.02800279,,7.75,,,,,
3,L. monocytogenes,V37CE,Dairy,Skimmed milk,Pasteurized,TB,35,24,,,colony count,direct from graph,,,,4,,,37,0.008135946,,7.6,,,,,
