Source,Species ,Strain,Product group ,Product,Treatment,Incubation medium,Incubation temperature,Incubation time,aw,pH,T,Lag,SD,Tg (h),µ_max,root of µmax,SD μmax (log10 CFU h-1),xmax (log10 CFU per ml),SD xmax (log10 CFU per ml),A (log10 CFU per ml),SD  A (log10 CFU per ml),N0 (log10 CFU per ml),SD N0 (log10 CFU per ml)
1,L. monocytogenes,Scott A,Dairy,Whole milk,sterile,BHI,37,24,,6.6,10,,,,0.0301,0.173493516,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,10,,,,0.0372,0.192873015,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,10,,,,0.0415,0.203715488,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,10,,,,0.0424,0.205912603,,,,,,,
1,L. monocytogenes,Scott A,Dairy,Whole milk,Sterile,BHI,37,24,,6.6,10,,,,0.0443,0.210475652,,,,,,,
2,L. monocytogenes,CRA 433,Dairy,Whole milk,UHT,NB (Oxoid CM1),30,48,,6.6,0,312,,62,,,,,,,,,
2,L. monocytogenes,CRA 434,Dairy,Whole milk,UHT,NB (Oxoid CM1),30+4,48+144,,6.6,0,72,,77,,,,,,,,,
2,L. monocytogenes,CRA 435,Dairy,Whole milk,UHT,NB (Oxoid CM1),30,48,,6.6,2.5,120,,24,,,,,,,,,
2,L. monocytogenes,CRA 436,Dairy,Whole milk,UHT,NB (Oxoid CM1),30+4,48+144,,6.6,2.5,48,,33,,,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,0,,,,0.00486,0.0697137,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,2.5,,,,0.0125,0.111803399,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,5,,,,0.0151,0.122882057,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,7.5,,,,0.0188,0.137113092,,,,,,,
2,L. monocytogenes,CRA198,Dairy,Whole milk,UHT,NB,30,48,,6.6,9.3,,,,0.0547,0.233880311,,,,,,,
3,L. monocytogenes,CA,Dairy,Whole milk,Pasteurized,TB,35,24,,,4,120,,30,,,,7.55,,,,,
