Microorganism,Species,Strain,Product group,Product,Treatment,aw,pH,T,D,z,log D,log D (model),Ref,Year,Remarks,,log D model dairy,log D model milk,log D model meat,log D model beef,log D model chicken,,F-test,logD (all),logD (10% NaCl),logD (rest)
Listeria,monocytogenes,1151,Dairy,Butter,(82.7% fat),,,68,0.188333333,,-0.725072807,-0.7804,Casadei et al.,1998,,,-0.9469,,,,,,,-0.720514278,,-0.779688573
Listeria,monocytogenes,Scott A,Dairy,Butter,(82.7% fat),,,68,0.1075,,-0.968591536,-0.7804,Casadei et al.,1998,,,-0.9469,,,,,,,-0.720514278,,-0.779688573
Listeria,monocytogenes,1151,Dairy,Butter,(82.7% fat),,,52,44.641,6.71,1.649733915,1.4916,Casadei et al.,1998,,,1.5651,,,,,,,1.488697674,,1.492155513
Listeria,monocytogenes,Scott A,Dairy,Butter,(82.7% fat),,,52,23.68316667,6.67,1.374439771,1.4916,Casadei et al.,1998,,,1.5651,,,,,,,1.488697674,,1.492155513
Listeria,monocytogenes,1151,Dairy,Butter,(82.7% fat),,,56,6.578666667,6.71,0.818137882,0.9236,Casadei et al.,1998,,,0.9371,,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,Scott A,Dairy,Butter,(82.7% fat),,,56,4.129833333,6.67,0.615932525,0.9236,Casadei et al.,1998,,,0.9371,,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,1151,Dairy,Butter,(82.7% fat),,,60,1.243166667,6.71,0.094529357,0.3556,Casadei et al.,1998,,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Butter,(82.7% fat),,,60,0.550333333,6.67,-0.259374181,0.3556,Casadei et al.,1998,,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,1151,Dairy,Butter,(82.7% fat),,,64,0.4205,6.71,-0.376234,-0.2124,Casadei et al.,1998,,,-0.3189,,,,,,,-0.16821129,,-0.211727551
Listeria,monocytogenes,Scott A,Dairy,Butter,(82.7% fat),,,64,0.193833333,6.67,-0.712571536,-0.2124,Casadei et al.,1998,,,-0.3189,,,,,,,-0.16821129,,-0.211727551
Listeria,monocytogenes,1151,Dairy,Cream,half (13.4% fat),,,68,0.152333333,,-0.817205055,-0.7804,Casadei et al.,1998,,,-0.9469,,,,,,,-0.720514278,,-0.779688573
Listeria,monocytogenes,Scott A,Dairy,Cream,half (13.4% fat),,,68,0.128666667,,-0.89053395,-0.7804,Casadei et al.,1998,,,-0.9469,,,,,,,-0.720514278,,-0.779688573
Listeria,monocytogenes,1151,Dairy,Cream,half (13.4% fat),,,52,105.0771667,5.32,2.021508354,1.4916,Casadei et al.,1998,,,1.5651,,,,,,,1.488697674,,1.492155513
Listeria,monocytogenes,Scott A,Dairy,Cream,half (13.4% fat),,,52,43.297,6.2,1.636457806,1.4916,Casadei et al.,1998,,,1.5651,,,,,,,1.488697674,,1.492155513
Listeria,monocytogenes,1151,Dairy,Cream,half (13.4% fat),,,56,23.1185,5.32,1.363959652,0.9236,Casadei et al.,1998,,,0.9371,,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,Scott A,Dairy,Cream,half (13.4% fat),,,56,5.0425,6.2,0.702645907,0.9236,Casadei et al.,1998,,,0.9371,,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,1151,Dairy,Cream,half (13.4% fat),,,60,1.582333333,5.32,0.199297977,0.3556,Casadei et al.,1998,,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Cream,half (13.4% fat),,,60,0.7815,6.2,-0.107071018,0.3556,Casadei et al.,1998,,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,1151,Dairy,Cream,half (13.4% fat),,,64,0.331333333,5.32,-0.47973487,-0.2124,Casadei et al.,1998,,,-0.3189,,,,,,,-0.16821129,,-0.211727551
Listeria,monocytogenes,Scott A,Dairy,Cream,half (13.4% fat),,,64,0.197666667,6.2,-0.704066561,-0.2124,Casadei et al.,1998,,,-0.3189,,,,,,,-0.16821129,,-0.211727551
Listeria,monocytogenes,,Dairy,Cream,raw,,,52.2,28.5,6.8,1.45484486,1.4632,ICMSF,1996,,,1.5337,,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Cream,raw,,,57.8,3.97,6.8,0.598790507,0.668,ICMSF,1996,,,0.6545,,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Cream,raw,,,63.3,0.51,6.8,-0.292429824,-0.113,ICMSF,1996,,,-0.209,,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Cream,raw,,,66.1,0.243333333,6.8,-0.613798395,-0.5106,ICMSF,1996,,,-0.6486,,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Cream,raw,,,68.9,0.1,6.8,-1,-0.9082,ICMSF,1996,,,-1.0882,,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Cream,sterile,,,52.2,29.68,7.1,1.472463897,1.4632,ICMSF,1996,,,1.5337,,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Cream,sterile,,,57.8,4.34,7.1,0.63748973,0.668,ICMSF,1996,,,0.6545,,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Cream,sterile,,,63.3,0.476666667,7.1,-0.321785217,-0.113,ICMSF,1996,,,-0.209,,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Cream,sterile,,,66.1,0.293333333,7.1,-0.532638583,-0.5106,ICMSF,1996,,,-0.6486,,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Cream,sterile,,,68.9,0.13,7.1,-0.886056648,-0.9082,ICMSF,1996,,,-1.0882,,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,1151,Dairy,Cream,"UHT, double (55.6% fat)",,,68,0.131,,-0.882728704,-0.7804,Casadei et al.,1998,,,-0.9469,,,,,,,-0.720514278,,-0.779688573
Listeria,monocytogenes,Scott A,Dairy,Cream,"UHT, double (55.6% fat)",,,68,0.157666667,,-0.802260114,-0.7804,Casadei et al.,1998,,,-0.9469,,,,,,,-0.720514278,,-0.779688573
Listeria,monocytogenes,1151,Dairy,Cream,"UHT, double (55.6% fat)",,,52,71.71616667,5.83,1.855617068,1.4916,Casadei et al.,1998,,,1.5651,,,,,,,1.488697674,,1.492155513
Listeria,monocytogenes,Scott A,Dairy,Cream,"UHT, double (55.6% fat)",,,52,58.055,6.08,1.763839629,1.4916,Casadei et al.,1998,,,1.5651,,,,,,,1.488697674,,1.492155513
Listeria,monocytogenes,1151,Dairy,Cream,"UHT, double (55.6% fat)",,,56,8.543833333,5.83,0.931652768,0.9236,Casadei et al.,1998,,,0.9371,,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,Scott A,Dairy,Cream,"UHT, double (55.6% fat)",,,56,6.059166667,6.08,0.782412899,0.9236,Casadei et al.,1998,,,0.9371,,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,1151,Dairy,Cream,"UHT, double (55.6% fat)",,,60,1.014166667,5.83,0.006109332,0.3556,Casadei et al.,1998,,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Cream,"UHT, double (55.6% fat)",,,60,0.648333333,6.08,-0.188201649,0.3556,Casadei et al.,1998,,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,1151,Dairy,Cream,"UHT, double (55.6% fat)",,,64,0.341333333,5.83,-0.466821298,-0.2124,Casadei et al.,1998,,,-0.3189,,,,,,,-0.16821129,,-0.211727551
Listeria,monocytogenes,Scott A,Dairy,Cream,"UHT, double (55.6% fat)",,,64,0.211166667,6.08,-0.675374636,-0.2124,Casadei et al.,1998,,,-0.3189,,,,,,,-0.16821129,,-0.211727551
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,57.2,13.559,,1.132227661,0.7532,Bradshaw et al.,1987,D-value calculated from endpoint measurement (time divided by 5 log reductions),,0.7487,,,,,,,0.77070379,,0.753806185
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,62.8,4.038,,0.606166315,-0.042,Bradshaw et al.,1987,D-value calculated from endpoint measurement (time divided by 5 log reductions),,-0.1305,,,,,,,-0.002520394,,-0.041339245
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,68.3,0.77,,-0.113509275,-0.823,Bradshaw et al.,1987,D-value calculated from endpoint measurement (time divided by 5 log reductions),,-0.994,,,,,,,-0.761937002,,-0.822285649
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,73.9,0.105,,-0.978810701,-1.6182,Bradshaw et al.,1987,D-value calculated from endpoint measurement (time divided by 5 log reductions),,-1.8732,,,,,,,-1.535161185,,-1.61743108
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,79.4,0.008666667,,-2.062147907,-2.3992,Bradshaw et al.,1987,D-value calculated from endpoint measurement (time divided by 5 log reductions),,-2.7367,,,,,,,-2.294577794,,-2.398377484
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,2.808,,0.448397103,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,3.108,,0.49248101,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,3.89,,0.589949601,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,4.65,,0.667452953,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,3.458,,0.538824989,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,3.61,,0.557507202,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,3.07,,0.487138375,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,5.546,,0.743979865,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Ice-cream,mix,,,60,3.498,,0.543819805,0.3556,Holsinger et al.,1992,D-value including lag phase: D = (5*D+lag)/5,,0.3091,,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,F5069,Dairy,Milk,11% nonfat milk solids,,,62.7,0.9,,-0.045757491,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,5,55,19,,1.278753601,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,6,55,79.5,,1.900367129,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,7,55,77.5,,1.889301703,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,5,60,2.4,,0.380211242,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,6,60,2.425,,0.384711743,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,7,60,2.975,,0.47348697,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,5,65,0.325,,-0.488116639,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,6,65,0.4,,-0.397940009,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
